series_id,year,value,supersector,industry,datatype,period
CES0500000002,2020,34.9,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,October
CES0500000002,2020,34.8,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,November
CES0500000002,2020,34.8,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,December
CES0500000002,2021,34.9,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,January
CES0500000002,2021,34.6,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,February
CES0500000002,2021,35.0,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,March
CES0500000002,2021,35.0,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,April
CES0500000002,2021,34.9,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,May
CES0500000002,2021,34.8,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,June
CES0500000002,2021,34.9,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,July
CES0500000002,2021,34.7,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,August
CES0500000002,2021,34.8,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,September
CES0500000002,2021,34.7,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,October
CES0500000002,2021,34.8,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,November
CES0500000002,2021,34.8,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,December
CES0500000002,2022,34.5,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,January
CES0500000002,2022,34.7,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,February
CES0500000002,2022,34.7,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,March
CES0500000002,2022,34.7,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,April
CES0500000002,2022,34.6,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,May
CES0500000002,2022,34.6,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,June
CES0500000002,2022,34.6,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,July
CES0500000002,2022,34.5,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,August
CES0500000002,2022,34.6,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,September
CES0500000002,2022,34.6,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,October
CES0500000002,2022,34.5,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,November
CES0500000002,2022,34.4,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,December
CES0500000002,2023,34.6,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,January
CES0500000002,2023,34.5,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,February
CES0500000002,2023,34.4,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,March
CES0500000002,2023,34.3,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,April
CES0500000002,2023,34.4,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,May
CES0500000002,2023,34.4,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,June
CES0500000002,2023,34.3,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,July
CES0500000002,2023,34.4,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,August
CES0500000002,2023,34.4,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,September
CES0500000002,2023,34.3,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,October
CES0500000002,2023,34.4,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,November
CES0500000002,2023,34.4,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,December
CES0500000002,2024,34.2,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,January
CES0500000002,2024,34.3,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,February
CES0500000002,2024,34.4,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,March
CES0500000002,2024,34.3,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,April
CES0500000002,2024,34.3,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,May
CES0500000002,2024,34.3,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,June
CES0500000002,2024,34.2,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,July
CES0500000002,2024,34.3,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,August
CES0500000002,2024,34.3,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,September
CES0500000002,2024,34.3,Total private,Total private,AVERAGE WEEKLY HOURS OF ALL EMPLOYEES,October
CES0500000003,2014,24.23,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,January
CES0500000003,2014,24.33,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,February
CES0500000003,2014,24.32,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,March
CES0500000003,2014,24.34,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,April
CES0500000003,2014,24.4,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,May
CES0500000003,2014,24.46,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,June
CES0500000003,2014,24.48,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,July
CES0500000003,2014,24.54,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,August
CES0500000003,2014,24.55,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,September
CES0500000003,2014,24.58,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,October
CES0500000003,2014,24.66,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,November
CES0500000003,2014,24.62,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,December
CES0500000003,2015,24.75,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,January
CES0500000003,2015,24.79,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,February
CES0500000003,2015,24.86,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,March
CES0500000003,2015,24.89,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,April
CES0500000003,2015,24.97,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,May
CES0500000003,2015,24.97,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,June
CES0500000003,2015,25.0,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,July
CES0500000003,2015,25.09,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,August
CES0500000003,2015,25.11,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,September
CES0500000003,2015,25.19,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,October
CES0500000003,2015,25.25,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,November
CES0500000003,2015,25.24,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,December
CES0500000003,2016,25.38,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,January
CES0500000003,2016,25.38,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,February
CES0500000003,2016,25.45,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,March
CES0500000003,2016,25.53,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,April
CES0500000003,2016,25.58,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,May
CES0500000003,2016,25.62,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,June
CES0500000003,2016,25.69,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,July
CES0500000003,2016,25.72,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,August
CES0500000003,2016,25.77,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,September
CES0500000003,2016,25.89,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,October
CES0500000003,2016,25.9,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,November
CES0500000003,2016,25.92,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,December
CES0500000003,2017,26.0,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,January
CES0500000003,2017,26.07,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,February
CES0500000003,2017,26.11,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,March
CES0500000003,2017,26.17,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,April
CES0500000003,2017,26.21,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,May
CES0500000003,2017,26.26,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,June
CES0500000003,2017,26.36,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,July
CES0500000003,2017,26.38,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,August
CES0500000003,2017,26.49,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,September
CES0500000003,2017,26.49,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,October
CES0500000003,2017,26.53,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,November
CES0500000003,2017,26.61,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,December
CES0500000003,2018,26.73,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,January
CES0500000003,2018,26.75,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,February
CES0500000003,2018,26.86,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,March
CES0500000003,2018,26.91,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,April
CES0500000003,2018,26.98,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,May
CES0500000003,2018,27.04,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,June
CES0500000003,2018,27.09,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,July
CES0500000003,2018,27.2,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,August
CES0500000003,2018,27.32,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,September
CES0500000003,2018,27.37,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,October
CES0500000003,2018,27.44,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,November
CES0500000003,2018,27.55,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,December
CES0500000003,2019,27.59,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,January
CES0500000003,2019,27.71,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,February
CES0500000003,2019,27.8,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,March
CES0500000003,2019,27.78,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,April
CES0500000003,2019,27.86,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,May
CES0500000003,2019,27.95,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,June
CES0500000003,2019,28.02,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,July
CES0500000003,2019,28.13,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,August
CES0500000003,2019,28.17,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,September
CES0500000003,2019,28.23,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,October
CES0500000003,2019,28.35,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,November
CES0500000003,2019,28.37,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,December
CES0500000003,2020,28.44,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,January
CES0500000003,2020,28.55,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,February
CES0500000003,2020,28.77,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,March
CES0500000003,2020,30.01,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,April
CES0500000003,2020,29.72,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,May
CES0500000003,2020,29.38,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,June
CES0500000003,2020,29.38,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,July
CES0500000003,2020,29.48,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,August
CES0500000003,2020,29.51,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,September
CES0500000003,2020,29.54,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,October
CES0500000003,2020,29.63,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,November
CES0500000003,2020,29.9,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,December
CES0500000003,2021,29.93,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,January
CES0500000003,2021,30.06,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,February
CES0500000003,2021,30.06,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,March
CES0500000003,2021,30.21,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,April
CES0500000003,2021,30.39,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,May
CES0500000003,2021,30.54,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,June
CES0500000003,2021,30.65,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,July
CES0500000003,2021,30.77,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,August
CES0500000003,2021,30.95,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,September
CES0500000003,2021,31.15,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,October
CES0500000003,2021,31.24,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,November
CES0500000003,2021,31.4,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,December
CES0500000003,2022,31.63,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,January
CES0500000003,2022,31.65,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,February
CES0500000003,2022,31.84,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,March
CES0500000003,2022,31.95,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,April
CES0500000003,2022,32.08,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,May
CES0500000003,2022,32.2,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,June
CES0500000003,2022,32.33,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,July
CES0500000003,2022,32.44,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,August
CES0500000003,2022,32.54,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,September
CES0500000003,2022,32.7,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,October
CES0500000003,2022,32.83,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,November
CES0500000003,2022,32.94,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,December
CES0500000003,2023,33.07,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,January
CES0500000003,2023,33.15,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,February
CES0500000003,2023,33.31,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,March
CES0500000003,2023,33.44,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,April
CES0500000003,2023,33.54,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,May
CES0500000003,2023,33.7,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,June
CES0500000003,2023,33.84,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,July
CES0500000003,2023,33.91,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,August
CES0500000003,2023,34.01,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,September
CES0500000003,2023,34.1,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,October
CES0500000003,2023,34.23,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,November
CES0500000003,2023,34.34,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,December
CES0500000003,2024,34.51,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,January
CES0500000003,2024,34.56,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,February
CES0500000003,2024,34.69,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,March
CES0500000003,2024,34.75,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,April
CES0500000003,2024,34.88,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,May
CES0500000003,2024,34.99,Total private,Total private,AVERAGE HOURLY EARNINGS OF ALL EMPLOYEES,June
