series_id        	sector_code	measure_code	duration_code	base_year	series_title	footnote_codes	begin_year	begin_period	end_year	end_period
MPU0011162       	0011	16	2	2017	Contribution of information processing equipment (IPE) intensity to labor productivity for Agriculture, forestry, fishing, and hunting (NAICS 11), Indexes = 100.000		1987	A01	2022	A01
MPU0011163       	0011	16	3	-	Contribution of information processing equipment (IPE) intensity to labor productivity for Agriculture, forestry, fishing, and hunting (NAICS 11), % Change Year Ago		1988	A01	2022	A01
MPU0011172       	0011	17	2	2017	Contribution of capital input excluding IPP and IPE intensity to labor productivity for Agriculture, forestry, fishing, and hunting (NAICS 11), Indexes = 100.000		1987	A01	2022	A01
MPU0011173       	0011	17	3	-	Contribution of capital input excluding IPP and IPE intensity to labor productivity for Agriculture, forestry, fishing, and hunting (NAICS 11), % Change Year Ago		1988	A01	2022	A01
MPU0011182       	0011	18	2	2017	Contribution of labor composition to labor productivity for Agriculture, forestry, fishing, and hunting (NAICS 11), Indexes = 100.000		1987	A01	2022	A01
MPU0011183       	0011	18	3	-	Contribution of labor composition to labor productivity for Agriculture, forestry, fishing, and hunting (NAICS 11), % Change Year Ago		1988	A01	2022	A01
MPU0011202       	0011	20	2	2017	Contribution of intellectual property products (IPP) excluding R&D intensity to labor productivity for Agriculture, forestry, fishing, and hunting (NAICS 11), Indexes = 100.000		1987	A01	2022	A01
MPU0011203       	0011	20	3	-	Contribution of intellectual property products (IPP) excluding R&D intensity to labor productivity for Agriculture, forestry, fishing, and hunting (NAICS 11), % Change Year Ago		1988	A01	2022	A01
MPU0011212       	0011	21	2	2017	Unit labor costs for Agriculture, forestry, fishing, and hunting (NAICS 11), Indexes = 100.000		1987	A01	2022	A01
MPU0011213       	0011	21	3	-	Unit labor costs for Agriculture, forestry, fishing, and hunting (NAICS 11), % Change Year Ago		1988	A01	2022	A01
MPU0011222       	0011	22	2	2017	Unit capital costs for Agriculture, forestry, fishing, and hunting (NAICS 11), Indexes = 100.000		1987	A01	2022	A01
MPU0011223       	0011	22	3	-	Unit capital costs for Agriculture, forestry, fishing, and hunting (NAICS 11), % Change Year Ago		1988	A01	2022	A01
MPU0011512       	0011	51	2	2017	Real sectoral output for Agriculture, forestry, fishing, and hunting (NAICS 11), Indexes = 100.000		1987	A01	2022	A01
MPU0011513       	0011	51	3	-	Real sectoral output for Agriculture, forestry, fishing, and hunting (NAICS 11), % Change Year Ago		1988	A01	2022	A01
MPU0011552       	0011	55	2	2017	Energy input for Agriculture, forestry, fishing, and hunting (NAICS 11), Indexes = 100.000		1987	A01	2022	A01
MPU0011553       	0011	55	3	-	Energy input for Agriculture, forestry, fishing, and hunting (NAICS 11), % Change Year Ago		1988	A01	2022	A01
MPU0011562       	0011	56	2	2017	Materials input for Agriculture, forestry, fishing, and hunting (NAICS 11), Indexes = 100.000		1987	A01	2022	A01
MPU0011563       	0011	56	3	-	Materials input for Agriculture, forestry, fishing, and hunting (NAICS 11), % Change Year Ago		1988	A01	2022	A01
MPU0011572       	0011	57	2	2017	Services Input for Agriculture, forestry, fishing, and hunting (NAICS 11), Indexes = 100.000		1987	A01	2022	A01
MPU0011573       	0011	57	3	-	Services Input for Agriculture, forestry, fishing, and hunting (NAICS 11), % Change Year Ago		1988	A01	2022	A01
MPU0011611       	0011	61	1	-	Sectoral output, billions of current dollars for Agriculture, forestry, fishing, and hunting (NAICS 11), Levels		1987	A01	2022	A01
MPU0011621       	0011	62	1	-	Capital costs, billions of current dollars for Agriculture, forestry, fishing, and hunting (NAICS 11), Levels		1987	A01	2022	A01
MPU0011631       	0011	63	1	-	Labor costs, billions of current dollars for Agriculture, forestry, fishing, and hunting (NAICS 11), Levels		1987	A01	2022	A01
MPU0011641       	0011	64	1	-	Energy costs, billions of current dollars for Agriculture, forestry, fishing, and hunting (NAICS 11), Levels		1987	A01	2022	A01
MPU0011651       	0011	65	1	-	Materials costs, billions of current dollars for Agriculture, forestry, fishing, and hunting (NAICS 11), Levels		1987	A01	2022	A01
MPU0011661       	0011	66	1	-	Services costs, billions of current dollars for Agriculture, forestry, fishing, and hunting (NAICS 11), Levels		1987	A01	2022	A01
MPU0011671       	0011	67	1	-	Capital share for Agriculture, forestry, fishing, and hunting (NAICS 11), Levels		1987	A01	2022	A01
MPU0011681       	0011	68	1	-	Labor share for Agriculture, forestry, fishing, and hunting (NAICS 11), Levels		1987	A01	2022	A01
MPU0011691       	0011	69	1	-	Energy share for Agriculture, forestry, fishing, and hunting (NAICS 11), Levels		1987	A01	2022	A01
MPU0011701       	0011	70	1	-	Materials share for Agriculture, forestry, fishing, and hunting (NAICS 11), Levels		1987	A01	2022	A01
MPU0011711       	0011	71	1	-	Services share for Agriculture, forestry, fishing, and hunting (NAICS 11), Levels		1987	A01	2022	A01
MPU0011742       	0011	74	2	2017	Contribution of energy intensity to labor productivity for Agriculture, forestry, fishing, and hunting (NAICS 11), Indexes = 100.000		1987	A01	2022	A01
MPU0011743       	0011	74	3	-	Contribution of energy intensity to labor productivity for Agriculture, forestry, fishing, and hunting (NAICS 11), % Change Year Ago		1988	A01	2022	A01
MPU0011762       	0011	76	2	2017	Contribution of materials intensity to labor productivity for Agriculture, forestry, fishing, and hunting (NAICS 11), Indexes = 100.000		1987	A01	2022	A01
MPU0011763       	0011	76	3	-	Contribution of materials intensity to labor productivity for Agriculture, forestry, fishing, and hunting (NAICS 11), % Change Year Ago		1988	A01	2022	A01
MPU0011772       	0011	77	2	2017	Contribution of services intensity to labor productivity for Agriculture, forestry, fishing, and hunting (NAICS 11), Indexes = 100.000		1987	A01	2022	A01
MPU0011773       	0011	77	3	-	Contribution of services intensity to labor productivity for Agriculture, forestry, fishing, and hunting (NAICS 11), % Change Year Ago		1988	A01	2022	A01
MPU0011782       	0011	78	2	2017	Contribution of intermediate inputs intensity to labor productivity for Agriculture, forestry, fishing, and hunting (NAICS 11), Indexes = 100.000		1987	A01	2022	A01
MPU0011783       	0011	78	3	-	Contribution of intermediate inputs intensity to labor productivity for Agriculture, forestry, fishing, and hunting (NAICS 11), % Change Year Ago		1988	A01	2022	A01
MPU0021012       	0021	01	2	2017	Total factor productivity for Mining (NAICS 21), Indexes = 100.000	04	1987	A01	2022	A01
MPU0021013       	0021	01	3	-	Total factor productivity for Mining (NAICS 21), % Change Year Ago	04	1988	A01	2022	A01
MPU0021032       	0021	03	2	2017	Combined inputs for Mining (NAICS 21), Indexes = 100.000	06	1987	A01	2022	A01
MPU0021033       	0021	03	3	-	Combined inputs for Mining (NAICS 21), % Change Year Ago	06	1988	A01	2022	A01
MPU0021042       	0021	04	2	2017	Capital input for Mining (NAICS 21), Indexes = 100.000	00	1987	A01	2022	A01
MPU0021043       	0021	04	3	-	Capital input for Mining (NAICS 21), % Change Year Ago	00	1988	A01	2022	A01
MPU0021052       	0021	05	2	2017	Labor input for Mining (NAICS 21), Indexes = 100.000	03	1987	A01	2022	A01
MPU0021053       	0021	05	3	-	Labor input for Mining (NAICS 21), % Change Year Ago	03	1988	A01	2022	A01
MPU0021062       	0021	06	2	2017	Labor productivity for Mining (NAICS 21), Indexes = 100.000	08	1987	A01	2022	A01
MPU0021063       	0021	06	3	-	Labor productivity for Mining (NAICS 21), % Change Year Ago	08	1988	A01	2022	A01
MPU0021072       	0021	07	2	2017	Capital productivity for Mining (NAICS 21), Indexes = 100.000		1987	A01	2022	A01
MPU0021073       	0021	07	3	-	Capital productivity for Mining (NAICS 21), % Change Year Ago		1988	A01	2022	A01
MPU0021082       	0021	08	2	2017	Capital intensity for Mining (NAICS 21), Indexes = 100.000		1987	A01	2022	A01
MPU0021083       	0021	08	3	-	Capital intensity for Mining (NAICS 21), % Change Year Ago		1988	A01	2022	A01
MPU0021152       	0021	15	2	2017	Contribution of capital intensity to labor productivity for Mining (NAICS 21), Indexes = 100.000		1987	A01	2022	A01
MPU0021153       	0021	15	3	-	Contribution of capital intensity to labor productivity for Mining (NAICS 21), % Change Year Ago		1988	A01	2022	A01
MPU0021162       	0021	16	2	2017	Contribution of information processing equipment (IPE) intensity to labor productivity for Mining (NAICS 21), Indexes = 100.000		1987	A01	2022	A01
MPU0021163       	0021	16	3	-	Contribution of information processing equipment (IPE) intensity to labor productivity for Mining (NAICS 21), % Change Year Ago		1988	A01	2022	A01
MPU0021172       	0021	17	2	2017	Contribution of capital input excluding IPP and IPE intensity to labor productivity for Mining (NAICS 21), Indexes = 100.000		1987	A01	2022	A01
MPU0021173       	0021	17	3	-	Contribution of capital input excluding IPP and IPE intensity to labor productivity for Mining (NAICS 21), % Change Year Ago		1988	A01	2022	A01
MPU0021182       	0021	18	2	2017	Contribution of labor composition to labor productivity for Mining (NAICS 21), Indexes = 100.000		1987	A01	2022	A01
MPU0021183       	0021	18	3	-	Contribution of labor composition to labor productivity for Mining (NAICS 21), % Change Year Ago		1988	A01	2022	A01
MPU0021192       	0021	19	2	2017	Contribution of research and development (R&D) intensity to labor productivity for Mining (NAICS 21), Indexes = 100.000		1987	A01	2022	A01
MPU0021193       	0021	19	3	-	Contribution of research and development (R&D) intensity to labor productivity for Mining (NAICS 21), % Change Year Ago		1988	A01	2022	A01
MPU0021202       	0021	20	2	2017	Contribution of intellectual property products (IPP) excluding R&D intensity to labor productivity for Mining (NAICS 21), Indexes = 100.000		1987	A01	2022	A01
MPU0021203       	0021	20	3	-	Contribution of intellectual property products (IPP) excluding R&D intensity to labor productivity for Mining (NAICS 21), % Change Year Ago		1988	A01	2022	A01
MPU0021212       	0021	21	2	2017	Unit labor costs for Mining (NAICS 21), Indexes = 100.000		1987	A01	2022	A01
MPU0021213       	0021	21	3	-	Unit labor costs for Mining (NAICS 21), % Change Year Ago		1988	A01	2022	A01
MPU0021222       	0021	22	2	2017	Unit capital costs for Mining (NAICS 21), Indexes = 100.000		1987	A01	2022	A01
MPU0021223       	0021	22	3	-	Unit capital costs for Mining (NAICS 21), % Change Year Ago		1988	A01	2022	A01
MPU0021512       	0021	51	2	2017	Real sectoral output for Mining (NAICS 21), Indexes = 100.000		1987	A01	2022	A01
MPU0021513       	0021	51	3	-	Real sectoral output for Mining (NAICS 21), % Change Year Ago		1988	A01	2022	A01
MPU0021552       	0021	55	2	2017	Energy input for Mining (NAICS 21), Indexes = 100.000		1987	A01	2022	A01
MPU0021553       	0021	55	3	-	Energy input for Mining (NAICS 21), % Change Year Ago		1988	A01	2022	A01
MPU0021562       	0021	56	2	2017	Materials input for Mining (NAICS 21), Indexes = 100.000		1987	A01	2022	A01
MPU0021563       	0021	56	3	-	Materials input for Mining (NAICS 21), % Change Year Ago		1988	A01	2022	A01
MPU0021572       	0021	57	2	2017	Services Input for Mining (NAICS 21), Indexes = 100.000		1987	A01	2022	A01
MPU0021573       	0021	57	3	-	Services Input for Mining (NAICS 21), % Change Year Ago		1988	A01	2022	A01
MPU0021611       	0021	61	1	-	Sectoral output, billions of current dollars for Mining (NAICS 21), Levels		1987	A01	2022	A01
MPU0021621       	0021	62	1	-	Capital costs, billions of current dollars for Mining (NAICS 21), Levels		1987	A01	2022	A01
MPU0021631       	0021	63	1	-	Labor costs, billions of current dollars for Mining (NAICS 21), Levels		1987	A01	2022	A01
MPU0021641       	0021	64	1	-	Energy costs, billions of current dollars for Mining (NAICS 21), Levels		1987	A01	2022	A01
MPU0021651       	0021	65	1	-	Materials costs, billions of current dollars for Mining (NAICS 21), Levels		1987	A01	2022	A01
MPU0021661       	0021	66	1	-	Services costs, billions of current dollars for Mining (NAICS 21), Levels		1987	A01	2022	A01
MPU0021671       	0021	67	1	-	Capital share for Mining (NAICS 21), Levels		1987	A01	2022	A01
MPU0021681       	0021	68	1	-	Labor share for Mining (NAICS 21), Levels		1987	A01	2022	A01
MPU0021691       	0021	69	1	-	Energy share for Mining (NAICS 21), Levels		1987	A01	2022	A01
MPU0021701       	0021	70	1	-	Materials share for Mining (NAICS 21), Levels		1987	A01	2022	A01
MPU0021711       	0021	71	1	-	Services share for Mining (NAICS 21), Levels		1987	A01	2022	A01
MPU0021742       	0021	74	2	2017	Contribution of energy intensity to labor productivity for Mining (NAICS 21), Indexes = 100.000		1987	A01	2022	A01
MPU0021743       	0021	74	3	-	Contribution of energy intensity to labor productivity for Mining (NAICS 21), % Change Year Ago		1988	A01	2022	A01
MPU0021762       	0021	76	2	2017	Contribution of materials intensity to labor productivity for Mining (NAICS 21), Indexes = 100.000		1987	A01	2022	A01
MPU0021763       	0021	76	3	-	Contribution of materials intensity to labor productivity for Mining (NAICS 21), % Change Year Ago		1988	A01	2022	A01
MPU0021772       	0021	77	2	2017	Contribution of services intensity to labor productivity for Mining (NAICS 21), Indexes = 100.000		1987	A01	2022	A01
MPU0021773       	0021	77	3	-	Contribution of services intensity to labor productivity for Mining (NAICS 21), % Change Year Ago		1988	A01	2022	A01
MPU0021782       	0021	78	2	2017	Contribution of intermediate inputs intensity to labor productivity for Mining (NAICS 21), Indexes = 100.000		1987	A01	2022	A01
MPU0021783       	0021	78	3	-	Contribution of intermediate inputs intensity to labor productivity for Mining (NAICS 21), % Change Year Ago		1988	A01	2022	A01
MPU0022012       	0022	01	2	2017	Total factor productivity for Utilities (NAICS 22), Indexes = 100.000	04	1987	A01	2022	A01
MPU0022013       	0022	01	3	-	Total factor productivity for Utilities (NAICS 22), % Change Year Ago	04	1988	A01	2022	A01
MPU0022032       	0022	03	2	2017	Combined inputs for Utilities (NAICS 22), Indexes = 100.000	06	1987	A01	2022	A01
MPU0022033       	0022	03	3	-	Combined inputs for Utilities (NAICS 22), % Change Year Ago	06	1988	A01	2022	A01
MPU0022042       	0022	04	2	2017	Capital input for Utilities (NAICS 22), Indexes = 100.000	00	1987	A01	2022	A01
MPU0022043       	0022	04	3	-	Capital input for Utilities (NAICS 22), % Change Year Ago	00	1988	A01	2022	A01
MPU0022052       	0022	05	2	2017	Labor input for Utilities (NAICS 22), Indexes = 100.000	03	1987	A01	2022	A01
MPU0022053       	0022	05	3	-	Labor input for Utilities (NAICS 22), % Change Year Ago	03	1988	A01	2022	A01
MPU0022062       	0022	06	2	2017	Labor productivity for Utilities (NAICS 22), Indexes = 100.000	08	1987	A01	2022	A01
MPU0022063       	0022	06	3	-	Labor productivity for Utilities (NAICS 22), % Change Year Ago	08	1988	A01	2022	A01
MPU0022072       	0022	07	2	2017	Capital productivity for Utilities (NAICS 22), Indexes = 100.000		1987	A01	2022	A01
MPU0022073       	0022	07	3	-	Capital productivity for Utilities (NAICS 22), % Change Year Ago		1988	A01	2022	A01
MPU0022082       	0022	08	2	2017	Capital intensity for Utilities (NAICS 22), Indexes = 100.000		1987	A01	2022	A01
MPU0022083       	0022	08	3	-	Capital intensity for Utilities (NAICS 22), % Change Year Ago		1988	A01	2022	A01
MPU0022152       	0022	15	2	2017	Contribution of capital intensity to labor productivity for Utilities (NAICS 22), Indexes = 100.000		1987	A01	2022	A01
MPU0022153       	0022	15	3	-	Contribution of capital intensity to labor productivity for Utilities (NAICS 22), % Change Year Ago		1988	A01	2022	A01
MPU0022162       	0022	16	2	2017	Contribution of information processing equipment (IPE) intensity to labor productivity for Utilities (NAICS 22), Indexes = 100.000		1987	A01	2022	A01
MPU0022163       	0022	16	3	-	Contribution of information processing equipment (IPE) intensity to labor productivity for Utilities (NAICS 22), % Change Year Ago		1988	A01	2022	A01
MPU0022172       	0022	17	2	2017	Contribution of capital input excluding IPP and IPE intensity to labor productivity for Utilities (NAICS 22), Indexes = 100.000		1987	A01	2022	A01
MPU0022173       	0022	17	3	-	Contribution of capital input excluding IPP and IPE intensity to labor productivity for Utilities (NAICS 22), % Change Year Ago		1988	A01	2022	A01
MPU0022182       	0022	18	2	2017	Contribution of labor composition to labor productivity for Utilities (NAICS 22), Indexes = 100.000		1987	A01	2022	A01
MPU0022183       	0022	18	3	-	Contribution of labor composition to labor productivity for Utilities (NAICS 22), % Change Year Ago		1988	A01	2022	A01
MPU0022192       	0022	19	2	2017	Contribution of research and development (R&D) intensity to labor productivity for Utilities (NAICS 22), Indexes = 100.000		1987	A01	2022	A01
MPU0022193       	0022	19	3	-	Contribution of research and development (R&D) intensity to labor productivity for Utilities (NAICS 22), % Change Year Ago		1988	A01	2022	A01
MPU0022202       	0022	20	2	2017	Contribution of intellectual property products (IPP) excluding R&D intensity to labor productivity for Utilities (NAICS 22), Indexes = 100.000		1987	A01	2022	A01
MPU0022203       	0022	20	3	-	Contribution of intellectual property products (IPP) excluding R&D intensity to labor productivity for Utilities (NAICS 22), % Change Year Ago		1988	A01	2022	A01
MPU0022212       	0022	21	2	2017	Unit labor costs for Utilities (NAICS 22), Indexes = 100.000		1987	A01	2022	A01
MPU0022213       	0022	21	3	-	Unit labor costs for Utilities (NAICS 22), % Change Year Ago		1988	A01	2022	A01
MPU0022222       	0022	22	2	2017	Unit capital costs for Utilities (NAICS 22), Indexes = 100.000		1987	A01	2022	A01
MPU0022223       	0022	22	3	-	Unit capital costs for Utilities (NAICS 22), % Change Year Ago		1988	A01	2022	A01
MPU0022512       	0022	51	2	2017	Real sectoral output for Utilities (NAICS 22), Indexes = 100.000		1987	A01	2022	A01
MPU0022513       	0022	51	3	-	Real sectoral output for Utilities (NAICS 22), % Change Year Ago		1988	A01	2022	A01
MPU0022552       	0022	55	2	2017	Energy input for Utilities (NAICS 22), Indexes = 100.000		1987	A01	2022	A01
MPU0022553       	0022	55	3	-	Energy input for Utilities (NAICS 22), % Change Year Ago		1988	A01	2022	A01
MPU0022562       	0022	56	2	2017	Materials input for Utilities (NAICS 22), Indexes = 100.000		1987	A01	2022	A01
MPU0022563       	0022	56	3	-	Materials input for Utilities (NAICS 22), % Change Year Ago		1988	A01	2022	A01
MPU0022572       	0022	57	2	2017	Services Input for Utilities (NAICS 22), Indexes = 100.000		1987	A01	2022	A01
MPU0022573       	0022	57	3	-	Services Input for Utilities (NAICS 22), % Change Year Ago		1988	A01	2022	A01
MPU0022611       	0022	61	1	-	Sectoral output, billions of current dollars for Utilities (NAICS 22), Levels		1987	A01	2022	A01
MPU0022621       	0022	62	1	-	Capital costs, billions of current dollars for Utilities (NAICS 22), Levels		1987	A01	2022	A01
MPU0022631       	0022	63	1	-	Labor costs, billions of current dollars for Utilities (NAICS 22), Levels		1987	A01	2022	A01
MPU0022641       	0022	64	1	-	Energy costs, billions of current dollars for Utilities (NAICS 22), Levels		1987	A01	2022	A01
MPU0022651       	0022	65	1	-	Materials costs, billions of current dollars for Utilities (NAICS 22), Levels		1987	A01	2022	A01
MPU0022661       	0022	66	1	-	Services costs, billions of current dollars for Utilities (NAICS 22), Levels		1987	A01	2022	A01
MPU0022671       	0022	67	1	-	Capital share for Utilities (NAICS 22), Levels		1987	A01	2022	A01
MPU0022681       	0022	68	1	-	Labor share for Utilities (NAICS 22), Levels		1987	A01	2022	A01
MPU0022691       	0022	69	1	-	Energy share for Utilities (NAICS 22), Levels		1987	A01	2022	A01
MPU0022701       	0022	70	1	-	Materials share for Utilities (NAICS 22), Levels		1987	A01	2022	A01
MPU0022711       	0022	71	1	-	Services share for Utilities (NAICS 22), Levels		1987	A01	2022	A01
MPU0022742       	0022	74	2	2017	Contribution of energy intensity to labor productivity for Utilities (NAICS 22), Indexes = 100.000		1987	A01	2022	A01
MPU0022743       	0022	74	3	-	Contribution of energy intensity to labor productivity for Utilities (NAICS 22), % Change Year Ago		1988	A01	2022	A01
MPU0022762       	0022	76	2	2017	Contribution of materials intensity to labor productivity for Utilities (NAICS 22), Indexes = 100.000		1987	A01	2022	A01
MPU0022763       	0022	76	3	-	Contribution of materials intensity to labor productivity for Utilities (NAICS 22), % Change Year Ago		1988	A01	2022	A01
MPU0022772       	0022	77	2	2017	Contribution of services intensity to labor productivity for Utilities (NAICS 22), Indexes = 100.000		1987	A01	2022	A01
MPU0022773       	0022	77	3	-	Contribution of services intensity to labor productivity for Utilities (NAICS 22), % Change Year Ago		1988	A01	2022	A01
MPU0022782       	0022	78	2	2017	Contribution of intermediate inputs intensity to labor productivity for Utilities (NAICS 22), Indexes = 100.000		1987	A01	2022	A01
MPU0022783       	0022	78	3	-	Contribution of intermediate inputs intensity to labor productivity for Utilities (NAICS 22), % Change Year Ago		1988	A01	2022	A01
MPU0023012       	0023	01	2	2017	Total factor productivity for Construction (NAICS 23), Indexes = 100.000	04	1987	A01	2022	A01
MPU0023013       	0023	01	3	-	Total factor productivity for Construction (NAICS 23), % Change Year Ago	04	1988	A01	2022	A01
MPU0023032       	0023	03	2	2017	Combined inputs for Construction (NAICS 23), Indexes = 100.000	06	1987	A01	2022	A01
MPU0023033       	0023	03	3	-	Combined inputs for Construction (NAICS 23), % Change Year Ago	06	1988	A01	2022	A01
MPU0023042       	0023	04	2	2017	Capital input for Construction (NAICS 23), Indexes = 100.000	00	1987	A01	2022	A01
MPU0023043       	0023	04	3	-	Capital input for Construction (NAICS 23), % Change Year Ago	00	1988	A01	2022	A01
MPU0023052       	0023	05	2	2017	Labor input for Construction (NAICS 23), Indexes = 100.000	03	1987	A01	2022	A01
MPU0023053       	0023	05	3	-	Labor input for Construction (NAICS 23), % Change Year Ago	03	1988	A01	2022	A01
MPU0023062       	0023	06	2	2017	Labor productivity for Construction (NAICS 23), Indexes = 100.000	08	1987	A01	2022	A01
MPU0023063       	0023	06	3	-	Labor productivity for Construction (NAICS 23), % Change Year Ago	08	1988	A01	2022	A01
MPU0023072       	0023	07	2	2017	Capital productivity for Construction (NAICS 23), Indexes = 100.000		1987	A01	2022	A01
MPU0023073       	0023	07	3	-	Capital productivity for Construction (NAICS 23), % Change Year Ago		1988	A01	2022	A01
MPU0023082       	0023	08	2	2017	Capital intensity for Construction (NAICS 23), Indexes = 100.000		1987	A01	2022	A01
MPU0023083       	0023	08	3	-	Capital intensity for Construction (NAICS 23), % Change Year Ago		1988	A01	2022	A01
MPU0023152       	0023	15	2	2017	Contribution of capital intensity to labor productivity for Construction (NAICS 23), Indexes = 100.000		1987	A01	2022	A01
MPU0023153       	0023	15	3	-	Contribution of capital intensity to labor productivity for Construction (NAICS 23), % Change Year Ago		1988	A01	2022	A01
MPU0023162       	0023	16	2	2017	Contribution of information processing equipment (IPE) intensity to labor productivity for Construction (NAICS 23), Indexes = 100.000		1987	A01	2022	A01
MPU0023163       	0023	16	3	-	Contribution of information processing equipment (IPE) intensity to labor productivity for Construction (NAICS 23), % Change Year Ago		1988	A01	2022	A01
MPU0023172       	0023	17	2	2017	Contribution of capital input excluding IPP and IPE intensity to labor productivity for Construction (NAICS 23), Indexes = 100.000		1987	A01	2022	A01
MPU0023173       	0023	17	3	-	Contribution of capital input excluding IPP and IPE intensity to labor productivity for Construction (NAICS 23), % Change Year Ago		1988	A01	2022	A01
MPU0023182       	0023	18	2	2017	Contribution of labor composition to labor productivity for Construction (NAICS 23), Indexes = 100.000		1987	A01	2022	A01
MPU0023183       	0023	18	3	-	Contribution of labor composition to labor productivity for Construction (NAICS 23), % Change Year Ago		1988	A01	2022	A01
MPU0023192       	0023	19	2	2017	Contribution of research and development (R&D) intensity to labor productivity for Construction (NAICS 23), Indexes = 100.000		1987	A01	2022	A01
MPU0023193       	0023	19	3	-	Contribution of research and development (R&D) intensity to labor productivity for Construction (NAICS 23), % Change Year Ago		1988	A01	2022	A01
MPU0023202       	0023	20	2	2017	Contribution of intellectual property products (IPP) excluding R&D intensity to labor productivity for Construction (NAICS 23), Indexes = 100.000		1987	A01	2022	A01
MPU0023203       	0023	20	3	-	Contribution of intellectual property products (IPP) excluding R&D intensity to labor productivity for Construction (NAICS 23), % Change Year Ago		1988	A01	2022	A01
MPU0023212       	0023	21	2	2017	Unit labor costs for Construction (NAICS 23), Indexes = 100.000		1987	A01	2022	A01
MPU0023213       	0023	21	3	-	Unit labor costs for Construction (NAICS 23), % Change Year Ago		1988	A01	2022	A01
MPU0023222       	0023	22	2	2017	Unit capital costs for Construction (NAICS 23), Indexes = 100.000		1987	A01	2022	A01
MPU0023223       	0023	22	3	-	Unit capital costs for Construction (NAICS 23), % Change Year Ago		1988	A01	2022	A01
MPU0023512       	0023	51	2	2017	Real sectoral output for Construction (NAICS 23), Indexes = 100.000		1987	A01	2022	A01
MPU0023513       	0023	51	3	-	Real sectoral output for Construction (NAICS 23), % Change Year Ago		1988	A01	2022	A01
MPU0023552       	0023	55	2	2017	Energy input for Construction (NAICS 23), Indexes = 100.000		1987	A01	2022	A01
MPU0023553       	0023	55	3	-	Energy input for Construction (NAICS 23), % Change Year Ago		1988	A01	2022	A01
MPU0023562       	0023	56	2	2017	Materials input for Construction (NAICS 23), Indexes = 100.000		1987	A01	2022	A01
MPU0023563       	0023	56	3	-	Materials input for Construction (NAICS 23), % Change Year Ago		1988	A01	2022	A01
MPU0023572       	0023	57	2	2017	Services Input for Construction (NAICS 23), Indexes = 100.000		1987	A01	2022	A01
MPU0023573       	0023	57	3	-	Services Input for Construction (NAICS 23), % Change Year Ago		1988	A01	2022	A01
MPU0023611       	0023	61	1	-	Sectoral output, billions of current dollars for Construction (NAICS 23), Levels		1987	A01	2022	A01
MPU0023621       	0023	62	1	-	Capital costs, billions of current dollars for Construction (NAICS 23), Levels		1987	A01	2022	A01
MPU0023631       	0023	63	1	-	Labor costs, billions of current dollars for Construction (NAICS 23), Levels		1987	A01	2022	A01
MPU0023641       	0023	64	1	-	Energy costs, billions of current dollars for Construction (NAICS 23), Levels		1987	A01	2022	A01
